cod_reg,regione,cod_prov,provincia,comune,cod_istat,flag,arr_tot_res,arr_tot_nonres,arr_tot_tot,arr_alb_res,arr_alb_nonres,arr_alb_tot,arr_ext_res,arr_ext_nonres,arr_ext_tot,col16,pre_tot_res,pre_tot_nonres,pre_tot_tot,pre_alb_res,pre_alb_nonres,pre_alb_tot,pre_ext_res,pre_ext_nonres,pre_ext_tot,anno
160,PUGLIA,075,LECCE,Monteroni di Lecce,075048,,880.0,29.0,909.0,,,,,,,,2634.0,139.0,2773.0,,,,,,,2014
160,PUGLIA,075,LECCE,Morciano di Leuca,075050,,5709.0,354.0,6063.0,4160.0,196.0,4356.0,1549.0,158.0,1707.0,,38763.0,1777.0,40540.0,30632.0,1149.0,31781.0,8131.0,628.0,8759.0,2014
160,PUGLIA,075,LECCE,Muro Leccese,075051,,1725.0,286.0,2011.0,,,,,,,,5350.0,1008.0,6358.0,,,,,,,2014
160,PUGLIA,075,LECCE,Nardò,075052,,33037.0,2275.0,35312.0,21088.0,1226.0,22314.0,11949.0,1049.0,12998.0,,209368.0,12183.0,221551.0,129463.0,6939.0,136402.0,79905.0,5244.0,85149.0,2014
160,PUGLIA,075,LECCE,Novoli,075055,,210.0,77.0,287.0,,,,,,,,770.0,264.0,1034.0,,,,,,,2014
160,PUGLIA,075,LECCE,Ortelle,075056,,602.0,841.0,1443.0,,,,,,,,2422.0,3261.0,5683.0,,,,,,,2014
160,PUGLIA,075,LECCE,Otranto,075057,,104568.0,18255.0,122823.0,58331.0,13214.0,71545.0,46237.0,5041.0,51278.0,,609342.0,67570.0,676912.0,276733.0,45328.0,322061.0,332609.0,22242.0,354851.0,2014
160,PUGLIA,075,LECCE,Palmariggi,075058,,397.0,54.0,451.0,,,,,,,,1716.0,306.0,2022.0,,,,,,,2014
160,PUGLIA,075,LECCE,Parabita,075059,,542.0,172.0,714.0,,,,,,,,2296.0,528.0,2824.0,,,,,,,2014
160,PUGLIA,075,LECCE,Patù,075060,,2391.0,1046.0,3437.0,2010.0,828.0,2838.0,381.0,218.0,599.0,,9305.0,5696.0,15001.0,7389.0,4438.0,11827.0,1916.0,1258.0,3174.0,2014
160,PUGLIA,075,LECCE,Poggiardo,075061,,2308.0,183.0,2491.0,,,,,,,,6035.0,775.0,6810.0,,,,,,,2014
160,PUGLIA,075,LECCE,Presicce,075062,,4673.0,210.0,4883.0,4430.0,175.0,4605.0,243.0,35.0,278.0,,27886.0,1221.0,29107.0,26772.0,1035.0,27807.0,1114.0,186.0,1300.0,2014
160,PUGLIA,075,LECCE,Racale,075063,,387.0,61.0,448.0,,,,,,,,2299.0,490.0,2789.0,,,,,,,2014
160,PUGLIA,075,LECCE,Ruffano,075064,,222.0,44.0,266.0,,,,,,,,522.0,97.0,619.0,,,,,,,2014
160,PUGLIA,075,LECCE,Salice Salentino,075065,,249.0,13.0,262.0,,,,,,,,1234.0,38.0,1272.0,,,,,,,2014
160,PUGLIA,075,LECCE,Salve,075066,,13637.0,544.0,14181.0,7700.0,301.0,8001.0,5937.0,243.0,6180.0,,150437.0,5558.0,155995.0,66750.0,2573.0,69323.0,83687.0,2985.0,86672.0,2014
160,PUGLIA,075,LECCE,Sanarica,075067,,126.0,17.0,143.0,,,,,,,,525.0,54.0,579.0,,,,,,,2014
160,PUGLIA,075,LECCE,San Cesario di Lecce,075068,,237.0,62.0,299.0,,,,,,,,1048.0,224.0,1272.0,,,,,,,2014
160,PUGLIA,075,LECCE,Sannicola,075070,,1894.0,569.0,2463.0,,,,,,,,7677.0,1965.0,9642.0,,,,,,,2014
160,PUGLIA,075,LECCE,Santa Cesarea Terme,075072,,14877.0,1667.0,16544.0,10726.0,1024.0,11750.0,4151.0,643.0,4794.0,,66249.0,6814.0,73063.0,45555.0,3934.0,49489.0,20694.0,2880.0,23574.0,2014
160,PUGLIA,075,LECCE,Specchia,075077,,834.0,86.0,920.0,295.0,6.0,301.0,539.0,80.0,619.0,,3370.0,324.0,3694.0,1084.0,23.0,1107.0,2286.0,301.0,2587.0,2014
160,PUGLIA,075,LECCE,Spongano,075078,,265.0,50.0,315.0,,,,,,,,1245.0,290.0,1535.0,,,,,,,2014
160,PUGLIA,075,LECCE,Squinzano,075079,,46.0,0.0,46.0,,,,,,,,125.0,0.0,125.0,,,,,,,2014
160,PUGLIA,075,LECCE,Sternatia,075080,,791.0,319.0,1110.0,,,,,,,,2669.0,1781.0,4450.0,,,,,,,2014
160,PUGLIA,075,LECCE,Supersano,075081,,1360.0,172.0,1532.0,,,,,,,,4254.0,610.0,4864.0,,,,,,,2014
160,PUGLIA,075,LECCE,Taviano,075085,,6046.0,137.0,6183.0,1023.0,70.0,1093.0,5023.0,67.0,5090.0,,36272.0,609.0,36881.0,2455.0,120.0,2575.0,33817.0,489.0,34306.0,2014
160,PUGLIA,075,LECCE,Trepuzzi,075087,,581.0,58.0,639.0,,,,,,,,2240.0,252.0,2492.0,,,,,,,2014
160,PUGLIA,075,LECCE,Tricase,075088,,5031.0,482.0,5513.0,2944.0,345.0,3289.0,2087.0,137.0,2224.0,,13227.0,1453.0,14680.0,5910.0,940.0,6850.0,7317.0,513.0,7830.0,2014
160,PUGLIA,075,LECCE,Tuglie,075089,,1546.0,473.0,2019.0,,,,,,,,6934.0,2232.0,9166.0,,,,,,,2014
160,PUGLIA,075,LECCE,Ugento,075090,,80167.0,16739.0,96906.0,55398.0,13512.0,68910.0,24769.0,3227.0,27996.0,,608470.0,146396.0,754866.0,396168.0,120870.0,517038.0,212302.0,25526.0,237828.0,2014
160,PUGLIA,075,LECCE,Uggiano la Chiesa,075091,,3686.0,823.0,4509.0,,,,,,,,28021.0,11270.0,39291.0,,,,,,,2014
160,PUGLIA,075,LECCE,Veglie,075092,,414.0,36.0,450.0,,,,,,,,2254.0,156.0,2410.0,,,,,,,2014
160,PUGLIA,075,LECCE,Vernole,075093,,10135.0,1673.0,11808.0,,,,,,,,43200.0,7448.0,50648.0,,,,,,,2014
160,PUGLIA,075,LECCE,Zollino,075094,,156.0,193.0,349.0,,,,,,,,850.0,1474.0,2324.0,,,,,,,2014
160,PUGLIA,075,LECCE,Castro,075096,,8424.0,2086.0,10510.0,7332.0,1995.0,9327.0,1092.0,91.0,1183.0,,36947.0,9631.0,46578.0,33048.0,9390.0,42438.0,3899.0,241.0,4140.0,2014
160,PUGLIA,075,LECCE,Porto Cesareo,075097,,41851.0,9041.0,50892.0,25515.0,8311.0,33826.0,16336.0,730.0,17066.0,,231815.0,51763.0,283578.0,125632.0,48687.0,174319.0,106183.0,3076.0,109259.0,2014
160,PUGLIA,075,LECCE,Altri comuni della provincia di LECCE, ,,3054.0,509.0,3563.0,,,,,,,,11972.0,2160.0,14132.0,,,,,,,2014
160,PUGLIA,075,LECCE,Alessano,075002,,1498.0,310.0,1808.0,,,,,,,,6239.0,1406.0,7645.0,,,,,,,2015
160,PUGLIA,075,LECCE,Alezio,075003,,616.0,113.0,729.0,,,,,,,,2506.0,506.0,3012.0,,,,,,,2015
160,PUGLIA,075,LECCE,Alliste,075004,,2679.0,384.0,3063.0,2344.0,308.0,2652.0,335.0,76.0,411.0,,11510.0,2293.0,13803.0,10096.0,1693.0,11789.0,1414.0,600.0,2014.0,2015
160,PUGLIA,075,LECCE,Andrano,075005,,303.0,39.0,342.0,,,,,,,,1389.0,153.0,1542.0,,,,,,,2015
160,PUGLIA,075,LECCE,Bagnolo del Salento,075008,,226.0,20.0,246.0,,,,,,,,1469.0,97.0,1566.0,,,,,,,2015
160,PUGLIA,075,LECCE,Cannole,075012,,4465.0,46.0,4511.0,,,,,,,,21174.0,177.0,21351.0,,,,,,,2015
160,PUGLIA,075,LECCE,Carmiano,075014,,189.0,154.0,343.0,,,,,,,,676.0,601.0,1277.0,,,,,,,2015
160,PUGLIA,075,LECCE,Carpignano Salentino,075015,,4741.0,1316.0,6057.0,3920.0,1228.0,5148.0,821.0,88.0,909.0,,14337.0,5374.0,19711.0,10788.0,4989.0,15777.0,3549.0,385.0,3934.0,2015
160,PUGLIA,075,LECCE,Casarano,075016,,2353.0,188.0,2541.0,1815.0,132.0,1947.0,538.0,56.0,594.0,,7554.0,782.0,8336.0,4219.0,508.0,4727.0,3335.0,274.0,3609.0,2015
160,PUGLIA,075,LECCE,Castrignano del Capo,075019,,18781.0,4997.0,23778.0,14614.0,4216.0,18830.0,4167.0,781.0,4948.0,,78426.0,13014.0,91440.0,64420.0,11094.0,75514.0,14006.0,1920.0,15926.0,2015
160,PUGLIA,075,LECCE,Cavallino,075020,,608.0,144.0,752.0,,,,,,,,2353.0,594.0,2947.0,,,,,,,2015
160,PUGLIA,075,LECCE,Copertino,075022,,1641.0,51.0,1692.0,,,,,,,,4501.0,247.0,4748.0,,,,,,,2015
160,PUGLIA,075,LECCE,Corigliano d'Otranto,075023,,2293.0,935.0,3228.0,,,,,,,,6979.0,3838.0,10817.0,,,,,,,2015
160,PUGLIA,075,LECCE,Cursi,075025,,148.0,52.0,200.0,,,,,,,,562.0,185.0,747.0,,,,,,,2015
160,PUGLIA,075,LECCE,Cutrofiano,075026,,1300.0,284.0,1584.0,,,,,,,,3709.0,1356.0,5065.0,,,,,,,2015
160,PUGLIA,075,LECCE,Diso,075027,,1750.0,564.0,2314.0,,,,,,,,7264.0,2163.0,9427.0,,,,,,,2015
160,PUGLIA,075,LECCE,Gagliano del Capo,075028,,5214.0,1482.0,6696.0,,,,,,,,25428.0,4180.0,29608.0,,,,,,,2015
160,PUGLIA,075,LECCE,Galatina,075029,,3903.0,555.0,4458.0,,,,,,,,11280.0,2132.0,13412.0,,,,,,,2015
160,PUGLIA,075,LECCE,Galatone,075030,,1508.0,288.0,1796.0,,,,,,,,5703.0,1380.0,7083.0,,,,,,,2015
160,PUGLIA,075,LECCE,Gallipoli,075031,,83836.0,19744.0,103580.0,39656.0,11997.0,51653.0,44180.0,7747.0,51927.0,,405084.0,73930.0,479014.0,147546.0,40585.0,188131.0,257538.0,33345.0,290883.0,2015
160,PUGLIA,075,LECCE,Giurdignano,075033,,2615.0,1807.0,4422.0,1762.0,1712.0,3474.0,853.0,95.0,948.0,,11234.0,6655.0,17889.0,8031.0,6389.0,14420.0,3203.0,266.0,3469.0,2015
160,PUGLIA,075,LECCE,Lecce,075035,,172289.0,61766.0,234055.0,146428.0,47285.0,193713.0,25861.0,14481.0,40342.0,,406482.0,159573.0,566055.0,312871.0,118797.0,431668.0,93611.0,40776.0,134387.0,2015
160,PUGLIA,075,LECCE,Lequile,075036,,2869.0,308.0,3177.0,,,,,,,,7772.0,1040.0,8812.0,,,,,,,2015
160,PUGLIA,075,LECCE,Leverano,075037,,1917.0,451.0,2368.0,,,,,,,,8697.0,1681.0,10378.0,,,,,,,2015
160,PUGLIA,075,LECCE,Lizzanello,075038,,6169.0,392.0,6561.0,,,,,,,,21456.0,2169.0,23625.0,,,,,,,2015
